  K    WAVELN    NEFF       GEOM ALB   BOND/QFIT  BOND/GEOM  Q-FITTED
 252  0.4887430    0.1192057    0.7685103    0.5359498    1.2781899    1.8328248
 253  0.4893940    0.1197310    0.7688151    0.5362726    1.2780389    1.8322317
 254  0.4900450    0.1202562    0.7693512    0.5366993    1.2777516    1.8316396
 255  0.4906980    0.1207831    0.7694764    0.5368875    1.2775779    1.8310468
 256  0.4913510    0.1213100    0.7694447    0.5369816    1.2774415    1.8304550
 257  0.4920050    0.1218377    0.7697913    0.5372943    1.2771969    1.8298634
 258  0.4926600    0.1223661    0.7699209    0.5374796    1.2770094    1.8292719
 259  0.4933160    0.1226405    0.7700815    0.5376852    1.2768188    1.8286806
 260  0.4939720    0.1226405    0.7701447    0.5378361    1.2766601    1.8280903
 261  0.4946300    0.1236571    0.7703462    0.5380633    1.2764525    1.8274993
 262  0.4952880    0.1242542    0.7704659    0.5382444    1.2762716    1.8269094
 263  0.4959480    0.1242542    0.7705548    0.5384060    1.2760948    1.8263187
 264  0.4966080    0.1252353    0.7706477    0.5385704    1.2759186    1.8257292
 265  0.4972690    0.1260849    0.7706740    0.5386949    1.2757579    1.8251398
 266  0.4979310    0.1266190    0.7708111    0.5388841    1.2755670    1.8245505
 267  0.4985940    0.1266747    0.7708265    0.5389980    1.2753994    1.8239615
 268  0.4992570    0.1270894    0.7708755    0.5391335    1.2752276    1.8233735
 269  0.4999220    0.1281625    0.7708469    0.5392270    1.2750843    1.8227848
 270  0.5005880    0.1287628    0.7708554    0.5393374    1.2749196    1.8221963
 271  0.5012540    0.1293002    0.7707740    0.5393991    1.2747890    1.8216089
 272  0.5019210    0.1298383    0.7702289    0.5391900    1.2747857    1.8210217
 273  0.5025890    0.1299021    0.7706919    0.5395528    1.2744661    1.8204346
 274  0.5032580    0.1303184    0.7696933    0.5390805    1.2745913    1.8198478
 275  0.5039280    0.1313996    0.7689086    0.5387320    1.2746563    1.8192612
 276  0.5045990    0.1324824    0.7701611    0.5395406    1.2740826    1.8186747
 277  0.5052710    0.1333481    0.7702359    0.5396740    1.2738632    1.8180885
 278  0.5059430    0.1338903    0.7689090    0.5390073    1.2740748    1.8175033
 279  0.5066170    0.1344341    0.7698198    0.5396067    1.2735719    1.8169175
 280  0.5072910    0.1349779    0.7684730    0.5389164    1.2737618    1.8163328
 281  0.5079670    0.1355234    0.7687712    0.5391438    1.2733944    1.8157474
 282  0.5086430    0.1360688    0.7684812    0.5390414    1.2732231    1.8151631
 283  0.5093200    0.1366150    0.7679351    0.5388119    1.2731764    1.8145790
 284  0.5099980    0.1371621    0.7676859    0.5387654    1.2730699    1.8139952
 285  0.5106770    0.1377099    0.7676075    0.5388528    1.2729969    1.8134116
 286  0.5113570    0.1388347    0.7695022    0.5401369    1.2724789    1.8128282
 287  0.5120370    0.1403612    0.7707827    0.5410936    1.2722062    1.8122458
 288  0.5127190    0.1398109    0.7717787    0.5418657    1.2719682    1.8116629
 289  0.5134010    0.1399078    0.7725843    0.5425076    1.2717385    1.8110810
 290  0.5140850    0.1405282    0.7731206    0.5429694    1.2715291    1.8104986
 291  0.5147690    0.1416320    0.7734102    0.5432706    1.2713497    1.8099172
 292  0.5154550    0.1423719    0.7736006    0.5435075    1.2711820    1.8093352
 293  0.5161410    0.1428116    0.7736629    0.5436615    1.2710316    1.8087543
 294  0.5168280    0.1428116    0.7737553    0.5438343    1.2708757    1.8081737
 295  0.5175160    0.1444769    0.7730271    0.5435233    1.2709375    1.8075933
 296  0.5182050    0.1457082    0.7736791    0.5440027    1.2705785    1.8070131
 297  0.5188940    0.1445963    0.7735467    0.5440262    1.2704435    1.8064341
 298  0.5195850    0.1453693    0.7733239    0.5439897    1.2703167    1.8058544
 299  0.5202770    0.1458155    0.7731641    0.5439958    1.2701857    1.8052751
 300  0.5209690    0.1452571    0.7729716    0.5439801    1.2700583    1.8046968
 301  0.5216630    0.1468369    0.7728434    0.5440081    1.2699271    1.8041179
 302  0.5223570    0.1476527    0.7728441    0.5441200    1.2697803    1.8035402
 303  0.5230530    0.1476954    0.7730182    0.5443499    1.2696236    1.8029619
 304  0.5237490    0.1482570    0.7732777    0.5446381    1.2694627    1.8023847
 305  0.5244460    0.1491792    0.7734653    0.5448875    1.2693297    1.8018077
 306  0.5251440    0.1503056    0.7736432    0.5451298    1.2691959    1.8012311
 307  0.5258430    0.1514335    0.7743064    0.5456457    1.2689027    1.8006547
 308  0.5265430    0.1508107    0.7739356    0.5455719    1.2689328    1.8000786
 309  0.5272440    0.1506638    0.7741389    0.5458102    1.2687478    1.7995028
 310  0.5279460    0.1523630    0.7743099    0.5460268    1.2685649    1.7989272
 311  0.5286490    0.1530174    0.7748210    0.5464343    1.2682687    1.7983520
 312  0.5293530    0.1533006    0.7748987    0.5465884    1.2680936    1.7977770
 313  0.5300570    0.1533926    0.7748777    0.5466880    1.2679541    1.7972032
 314  0.5307630    0.1545318    0.7744341    0.5465322    1.2679136    1.7966288
 315  0.5314700    0.1556727    0.7741846    0.5464663    1.2677639    1.7960547
 316  0.5321770    0.1560995    0.7740843    0.5464799    1.2675552    1.7954818
 317  0.5328850    0.1543858    0.7736473    0.5462988    1.2674466    1.7949091
 318  0.5335950    0.1555476    0.7731473    0.5460791    1.2673515    1.7943360
 319  0.5343050    0.1565280    0.7727452    0.5459159    1.2672277    1.7937639
 320  0.5350160    0.1565538    0.7719551    0.5455006    1.2671557    1.7931922
 321  0.5357290    0.1577043    0.7708452    0.5448713    1.2671119    1.7926200
 322  0.5364420    0.1581417    0.7689167    0.5436897    1.2671315    1.7920489
 323  0.5371560    0.1581417    0.7669791    0.5425214    1.2671991    1.7914781
 324  0.5378710    0.1581417    0.7637121    0.5404839    1.2674366    1.7909076
 325  0.5385870    0.1590889    0.7597603    0.5381163    1.2680444    1.7903374
 326  0.5393040    0.1592648    0.7560505    0.5358722    1.2685484    1.7897676
 327  0.5400220    0.1581062    0.7497471    0.5319497    1.2694459    1.7891981
 328  0.5407410    0.1569459    0.7486373    0.5308795    1.2683666    1.7886289
 329  0.5414600    0.1568991    0.7420584    0.5264840    1.2686137    1.7880609
 330  0.5421810    0.1573348    0.7351875    0.5219102    1.2689423    1.7874923
 331  0.5429030    0.1573348    0.7325899    0.5202718    1.2690404    1.7869242
 332  0.5436260    0.1583450    0.7346681    0.5218590    1.2689079    1.7863563
 333  0.5443490    0.1600749    0.7436964    0.5280654    1.2680090    1.7857896
 334  0.5450740    0.1624744    0.7508048    0.5333565    1.2681858    1.7852225
 335  0.5458000    0.1654033    0.7347636    0.5249481    1.2750379    1.7846556
 336  0.5465260    0.1670589    0.7388923    0.5279559    1.2747742    1.7840900
 337  0.5472540    0.1682337    0.7578015    0.5393992    1.2695030    1.7835238
 338  0.5479820    0.1694084    0.7375736    0.5278558    1.2760015    1.7829589
 339  0.5487120    0.1705864    0.7690621    0.5464473    1.2664570    1.7823934
 340  0.5494420    0.1717644    0.7624609    0.5427601    1.2684005    1.7818292
 341  0.5501730    0.1726649    0.7763931    0.5510286    1.2642154    1.7812652
 342  0.5509060    0.1726649    0.7766542    0.5513157    1.2640484    1.7807009
 343  0.5516390    0.1726649    0.7776874    0.5520446    1.2636381    1.7801377
 344  0.5523730    0.1729658    0.7775689    0.5520914    1.2635383    1.7795749
 345  0.5531090    0.1735597    0.7776190    0.5522283    1.2633699    1.7790116
 346  0.5538450    0.1741535    0.7774970    0.5522602    1.2632419    1.7784495
 347  0.5545820    0.1747481    0.7769341    0.5520300    1.2632313    1.7778878
 348  0.5553210    0.1753444    0.7765171    0.5518867    1.2631820    1.7773257
 349  0.5560600    0.1759407    0.7765291    0.5519993    1.2630213    1.7767647
 350  0.5568000    0.1765377    0.7767984    0.5522693    1.2628025    1.7762041
 351  0.5575410    0.1766991    0.7587517    0.5418141    1.2679628    1.7756439
 352  0.5582830    0.1771558    0.7746729    0.5512761    1.2631931    1.7750841
 353  0.5590270    0.1783346    0.7772471    0.5529061    1.2623334    1.7745239
 354  0.5597710    0.1789349    0.7778020    0.5533640    1.2620799    1.7739648
