# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  2522.98 7.5016e-15   2529.30 0 
  2534.62 7.4507e-15   2540.97 0 
  2546.32 7.3324e-15   2552.70 0 
  2552.19 7.3244e-15   2558.59 0 
  2563.97 7.2580e-15   2570.40 0 
  2575.81 7.2422e-15   2582.26 0 
  2587.70 7.1602e-15   2594.18 0 
  2593.66 7.0705e-15   2600.16 0 
  2605.63 7.0066e-15   2612.16 0 
  2617.66 6.9115e-15   2624.22 0 
  2623.70 6.8881e-15   2630.27 0 
  2635.81 6.8417e-15   2642.41 0 
  2647.97 6.8427e-15   2654.61 0 
  2654.08 6.7727e-15   2660.72 0 
  2666.33 6.6502e-15   2673.01 0 
  2672.47 6.5973e-15   2679.17 0 
  2684.81 6.5832e-15   2691.54 0 
  2697.20 6.4493e-15   2703.96 0 
  2703.42 6.4277e-15   2710.19 0 
  2715.90 6.3406e-15   2722.70 0 
  2722.16 6.2758e-15   2728.98 0 
  2734.72 6.2051e-15   2741.57 0 
  2747.35 6.1353e-15   2754.23 0 
  2753.68 6.0867e-15   2760.58 0 
  2766.39 6.0460e-15   2773.32 0 
  2772.77 6.0536e-15   2779.71 0 
  2785.57 5.9855e-15   2792.54 0 
  2791.99 5.7763e-15   2798.98 0 
  2804.87 5.8042e-15   2811.90 0 
  2817.82 5.8592e-15   2824.88 0 
  2824.32 5.7861e-15   2831.39 0 
  2837.35 5.6949e-15   2844.46 0 
  2843.89 5.6629e-15   2851.02 0 
  2857.02 5.6123e-15   2864.18 0 
  2863.61 5.5936e-15   2870.78 0 
  2876.83 5.5437e-15   2884.03 0 
  2883.46 5.4999e-15   2890.68 0 
  2896.77 5.4509e-15   2904.02 0 
  2910.14 5.4147e-15   2917.43 0 
  2930.31 5.3119e-15   2937.65 0 
  2950.62 5.1991e-15   2958.01 0 
  2971.07 5.1358e-15   2978.52 0 
  2991.67 5.0501e-15   2999.16 0 
  3012.41 4.9658e-15   3019.95 0 
  3033.29 4.8830e-15   3040.89 0 
  3047.29 4.8065e-15   3054.92 0 
  3068.41 4.7264e-15   3076.10 0 
  3089.68 4.6478e-15   3097.42 0 
  3111.10 4.5810e-15   3118.89 0 
  3132.66 4.4945e-15   3140.51 0 
  3147.12 4.4242e-15   3155.01 0 
  3168.94 4.3507e-15   3176.87 0 
  3190.90 4.2589e-15   3198.90 0 
  3213.02 4.2077e-15   3221.07 0 
  3227.85 4.1419e-15   3235.94 0 
  3250.23 4.1016e-15   3258.37 0 
  3272.75 4.0337e-15   3280.95 0 
  3287.86 3.9800e-15   3296.10 0 
  3310.65 3.9232e-15   3318.94 0 
  3318.28 4.0479e-15   3326.60 0 
  3325.93 4.0721e-15   3334.26 0 
  3333.60 4.0124e-15   3341.95 0 
  3341.29 3.8726e-15   3349.66 0 
  3348.99 4.0513e-15   3357.38 0 
  3356.71 3.8387e-15   3365.12 0 
  3364.45 3.8262e-15   3372.87 0 
  3372.20 3.7356e-15   3380.65 0 
  3379.97 3.7667e-15   3388.44 0 
  3387.77 3.8419e-15   3396.25 0 
  3395.58 3.8739e-15   3404.08 0 
  3403.40 3.7131e-15   3411.93 0 
  3411.25 3.7097e-15   3419.79 0 
  3419.11 3.7751e-15   3427.68 0 
  3426.99 3.7890e-15   3435.58 0 
  3434.89 3.8030e-15   3443.50 0 
  3442.81 3.7387e-15   3451.44 0 
  3450.75 3.6925e-15   3459.39 0 
  3458.70 3.5885e-15   3467.37 0 
  3466.68 3.6435e-15   3475.36 0 
  3474.67 3.5985e-15   3483.37 0 
