# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  3088.96 3.5847e-15   3184.20 0 
  3110.37 3.5550e-15   3206.27 0 
  3131.93 3.5174e-15   3228.49 0 
  3146.39 3.5439e-15   3243.40 0 
  3168.20 3.5308e-15   3265.88 0 
  3190.16 3.3749e-15   3288.52 0 
  3212.27 3.4806e-15   3311.31 0 
  3227.10 3.3567e-15   3326.60 0 
  3249.47 3.5019e-15   3349.66 0 
  3272.00 3.5951e-15   3372.87 0 
  3287.10 3.5725e-15   3388.44 0 
  3309.88 3.5758e-15   3411.93 0 
  3325.16 3.5781e-15   3427.68 0 
  3332.83 3.5874e-15   3435.58 0 
  3340.51 3.4191e-15   3443.50 0 
  3348.21 3.6902e-15   3451.44 0 
  3355.93 3.5579e-15   3459.39 0 
  3363.66 3.3291e-15   3467.37 0 
  3371.42 3.3072e-15   3475.36 0 
  3379.19 3.5694e-15   3483.37 0 
  3386.98 3.6202e-15   3491.40 0 
  3394.79 3.5799e-15   3499.45 0 
  3402.61 3.7240e-15   3507.52 0 
  3410.46 3.4368e-15   3515.60 0 
  3418.32 3.4937e-15   3523.71 0 
  3426.20 3.5762e-15   3531.83 0 
  3434.10 3.6946e-15   3539.97 0 
  3442.01 3.4971e-15   3548.13 0 
  3449.95 3.5063e-15   3556.31 0 
  3457.90 3.4593e-15   3564.51 0 
  3465.87 3.3894e-15   3572.73 0 
  3473.86 3.5831e-15   3580.96 0 
  3481.87 3.4547e-15   3589.22 0 
  3489.90 3.5855e-15   3597.49 0 
  3497.94 3.4649e-15   3605.79 0 
  3506.01 3.5467e-15   3614.10 0 
  3514.09 3.4274e-15   3622.43 0 
  3522.19 3.5901e-15   3630.78 0 
  3530.31 3.4614e-15   3639.15 0 
  3538.45 3.6008e-15   3647.54 0 
  3546.60 3.6689e-15   3655.95 0 
  3554.78 3.6956e-15   3664.37 0 
  3562.97 3.6293e-15   3672.82 0 
  3568.73 2.7154e-15   3678.76 1 
  3571.40 2.2384e-15   3681.51 1 
  3574.07 3.6356e-15   3684.26 1 
  3576.74 5.3986e-15   3687.01 1 
  3579.40 3.6987e-15   3689.76 1 
  3582.07 9.3434e-16   3692.51 1 
  3584.74 -4.1760e-17   3695.26 1 
  3587.41 2.3476e-15   3698.01 1 
  3590.07 2.1122e-15   3700.76 1 
  3592.74 6.7286e-15   3703.51 1 
  3595.41 6.7186e-15   3706.26 1 
  3598.08 4.5273e-15   3709.01 1 
  3600.75 1.3360e-15   3711.76 1 
  3603.41 8.0513e-16   3714.51 1 
  3606.08 2.1866e-15   3717.26 1 
  3608.75 3.1276e-15   3720.01 1 
  3611.42 5.4890e-15   3722.76 1 
  3614.08 1.0372e-15   3725.51 1 
  3616.75 1.8008e-15   3728.26 1 
  3619.42 1.0570e-15   3731.01 1 
  3622.09 1.8296e-15   3733.76 1 
  3624.76 2.6596e-15   3736.51 1 
  3627.42 -5.4155e-16   3739.26 1 
  3630.09 3.2323e-15   3742.01 1 
  3632.76 1.3759e-15   3744.76 1 
  3635.43 -2.1221e-16   3747.51 1 
  3638.09 -1.1152e-15   3750.26 1 
  3640.76 4.3861e-15   3753.01 1 
  3643.43 6.6829e-15   3755.76 1 
  3646.10 3.1255e-15   3758.51 1 
  3648.76 1.9431e-15   3761.26 1 
  3651.43 1.3930e-15   3764.01 1 
  3654.10 3.3410e-15   3766.76 1 
  3656.77 5.4745e-15   3769.51 1 
  3659.44 4.6677e-15   3772.26 1 
  3662.10 3.8630e-15   3775.01 1 
  3664.77 1.6064e-15   3777.76 1 
  3667.44 6.0082e-15   3780.51 1 
  3670.11 5.4004e-15   3783.26 1 
  3672.77 2.8503e-15   3786.01 1 
  3675.44 4.0227e-15   3788.76 1 
  3678.11 5.3449e-15   3791.51 1 
  3680.78 5.9037e-15   3794.26 1 
  3683.45 1.4357e-15   3797.01 1 
  3686.11 3.8738e-15   3799.76 1 
  3688.78 3.1810e-15   3802.51 1 
  3691.45 2.4021e-15   3805.26 1 
  3694.12 4.2510e-15   3808.01 1 
  3696.78 5.2929e-15   3810.76 1 
  3699.45 2.2235e-15   3813.51 1 
  3702.12 3.1363e-15   3816.26 1 
  3704.79 2.7906e-15   3819.01 1 
  3707.46 2.5730e-15   3821.76 1 
  3710.12 3.2612e-15   3824.51 1 
  3712.79 4.2831e-15   3827.26 1 
  3715.46 5.0647e-15   3830.01 1 
  3718.13 2.3503e-15   3832.76 1 
  3720.79 4.1279e-15   3835.51 1 
  3723.46 6.6577e-15   3838.26 1 
  3726.13 7.5123e-15   3841.01 1 
  3728.80 1.0993e-14   3843.76 1 
  3731.47 9.5878e-15   3846.51 1 
  3734.13 8.2385e-15   3849.26 1 
  3736.80 4.7298e-15   3852.01 1 
  3739.47 3.4229e-15   3854.76 1 
  3742.14 3.7426e-15   3857.51 1 
  3744.80 3.9825e-15   3860.26 1 
  3747.47 5.2258e-15   3863.01 1 
  3750.14 5.1893e-15   3865.76 1 
  3752.81 3.8549e-15   3868.51 1 
  3755.47 2.9252e-15   3871.26 1 
  3758.14 5.0023e-15   3874.01 1 
  3760.81 5.5257e-15   3876.76 1 
  3763.48 4.8512e-15   3879.51 1 
  3766.15 5.1313e-15   3882.26 1 
  3768.81 3.5289e-15   3885.01 1 
  3771.48 2.4186e-15   3887.76 1 
  3774.15 4.0998e-15   3890.51 1 
  3776.82 5.0014e-15   3893.26 1 
  3779.48 3.4231e-15   3896.01 1 
  3782.15 4.7669e-15   3898.76 1 
  3784.82 5.5379e-15   3901.51 1 
  3787.49 4.6836e-15   3904.26 1 
  3790.16 3.8128e-15   3907.01 1 
  3792.82 1.1178e-15   3909.76 1 
  3795.49 3.8407e-15   3912.51 1 
  3798.16 5.7032e-15   3915.26 1 
  3800.83 2.8058e-15   3918.01 1 
  3803.49 2.1510e-15   3920.76 1 
  3806.16 4.9347e-15   3923.51 1 
  3808.83 5.5028e-15   3926.26 1 
  3811.50 5.8247e-15   3929.01 1 
  3814.17 6.0950e-15   3931.76 1 
  3816.83 5.1465e-15   3934.51 1 
  3819.50 5.9229e-15   3937.26 1 
  3822.17 6.6668e-15   3940.01 1 
  3824.84 2.9236e-15   3942.76 1 
  3827.50 4.0657e-15   3945.51 1 
  3830.17 3.8649e-15   3948.26 1 
  3832.84 4.5192e-15   3951.01 1 
  3835.51 3.6047e-15   3953.76 1 
  3838.18 3.1937e-15   3956.51 1 
  3840.84 4.6068e-15   3959.26 1 
  3843.51 5.5800e-15   3962.01 1 
  3846.18 2.1000e-15   3964.76 1 
  3848.85 4.0405e-15   3967.51 1 
  3851.51 6.2870e-15   3970.26 1 
  3854.18 7.1678e-15   3973.01 1 
  3856.85 5.9563e-15   3975.76 1 
  3859.52 4.2992e-15   3978.51 1 
  3862.18 5.7640e-15   3981.26 1 
  3864.85 4.7471e-15   3984.01 1 
  3867.52 7.1690e-15   3986.76 1 
  3870.19 6.8598e-15   3989.51 1 
  3872.86 6.4368e-15   3992.26 1 
  3875.52 6.6233e-15   3995.01 1 
  3878.19 4.4975e-15   3997.76 1 
  3880.86 6.6741e-15   4000.51 1 
  3883.53 6.1092e-15   4003.26 1 
  3886.19 6.1422e-15   4006.01 1 
  3888.86 4.1436e-15   4008.76 1 
  3891.53 1.7764e-15   4011.51 1 
  3894.20 1.5488e-15   4014.26 1 
  3896.87 6.1223e-15   4017.01 1 
  3899.53 5.3062e-15   4019.76 1 
  3902.20 5.7426e-15   4022.51 1 
  3904.87 2.7016e-15   4025.26 1 
  3907.54 4.7348e-15   4028.01 1 
  3910.20 5.0878e-15   4030.76 1 
  3912.87 7.4875e-15   4033.51 1 
  3915.54 6.6676e-15   4036.26 1 
  3918.21 6.4257e-15   4039.01 1 
  3920.88 6.0412e-15   4041.76 1 
  3923.54 5.5097e-15   4044.51 1 
  3926.21 6.9024e-15   4047.26 1 
  3928.88 7.6341e-15   4050.01 1 
  3931.55 3.9330e-15   4052.76 1 
  3934.21 2.6571e-15   4055.51 1 
  3936.88 6.1049e-15   4058.26 1 
  3939.55 2.9699e-15   4061.01 1 
  3942.22 3.9749e-15   4063.76 1 
  3944.89 4.5426e-15   4066.51 1 
  3947.55 4.3875e-15   4069.26 1 
  3950.22 6.8219e-15   4072.01 1 
  3952.89 6.2283e-15   4074.76 1 
