       WAVE        FLUX          ERROR       RMS 
      2196.30      1.10000    0.0268000     0.138000
      2199.30      1.12000    0.0273000     0.149000
      2202.30      1.10000    0.0266000     0.151000
      2205.30      1.14000    0.0273000     0.140000
      2208.30      1.09000    0.0266000     0.141000
      2211.30      1.07000    0.0261000     0.141000
      2214.30      1.04000    0.0261000     0.143000
      2217.30      1.09000    0.0267000     0.143000
      2220.30      1.11000    0.0273000     0.140000
      2223.30      1.16000    0.0286000     0.161000
      2226.30      1.12000    0.0287000     0.156000
      2229.30      1.12000    0.0284000     0.149000
      2232.30      1.12000    0.0286000     0.145000
      2235.30      1.10000    0.0283000     0.142000
      2238.30      1.12000    0.0287000     0.148000
      2241.30      1.07000    0.0295000     0.145000
      2244.30      1.11000    0.0298000     0.145000
      2247.30      1.10000    0.0297000     0.149000
      2250.30      1.09000    0.0305000     0.134000
      2253.30      1.08000    0.0315000     0.143000
      2256.30      1.06000    0.0312000     0.143000
      2259.30      1.09000    0.0329000     0.140000
      2262.30      1.04000    0.0330000     0.151000
      2265.30      1.11000    0.0333000     0.160000
      2268.30      1.10000    0.0329000     0.142000
      2271.30      1.08000    0.0330000     0.137000
