# cat cat_m83_master_may_21_2014.txt | awk '{print $1, $2, $3, $4, $12, $26, $29}' > cat_m83_master_may_21_2014.reduced.txt
 x   y     ra           dec       mv   mass  age 
1739 4553 204.2832513 -29.8607006 -5.727 6.6 295.1
1744 2150 204.2832009 -29.8874044 -5.417 8.41 13094.8
1749 1942 204.2831282 -29.8897066 -5.846 8.56 7946.2
1750 2057 204.2831254 -29.8884304 -7.33 7.63 12909.6
1752 1185 204.2830942 -29.898121 -5.006 7.91 3479.5
1755 3846 204.2830564 -29.86856 -5.937 7.04 5529.3
1761 2318 204.2829771 -29.8855319 -7.128 7.86 10276.5
1768 1654 204.28289 -29.8929099 -6.39 7.72 4478.1
1792 4158 204.2825758 -29.8650849 -4.909 7.51 3899.5
1793 1253 204.2825719 -29.8973606 -5.212 8.41 5050.6
1796 3405 204.282532 -29.8734544 -5.017 8.51 14054.1
1797 2451 204.2825208 -29.8840543 -4.421 8.46 6696.8
1800 3123 204.2824768 -29.8765924 -6.105 7.49 11542.5
1803 4175 204.2824434 -29.8648988 -5.094 8.41 5095.4
1814 1056 204.2822952 -29.8995511 -4.941 8.21 2022.8
1831 3497 204.2820773 -29.8724367 -6.922 7.56 7720.
1839 4515 204.2819702 -29.8611241 -6.038 7.28 3138.1
1844 1905 204.2819189 -29.8901217 -5.204 8.06 2161.
1848 1077 204.2818703 -29.8993267 -5.146 8.21 8392.1
1849 3395 204.2818523 -29.8735649 -5.058 9.06 25221.9
1852 965 204.2818103 -29.9005677 -5.107 7.86 4338.
1852 1780 204.2818096 -29.89151 -5.09 8.76 5265.7
1854 4546 204.2817806 -29.8607793 -5.197 8.06 2147.2
1854 3767 204.2817787 -29.8694367 -6.708 7.36 4790.3
1855 2412 204.2817707 -29.8844824 -5.946 8.11 7251.1
1855 1528 204.2817687 -29.8943057 -4.911 8.61 3644.7
1861 3934 204.2816919 -29.8675789 -5.349 8.51 4391.4
1881 1079 204.2814421 -29.8993013 -4.704 8.46 2249.6
1903 1165 204.2811537 -29.8983389 -5.154 8.81 6165.3
1904 3697 204.2811443 -29.8702091 -6.976 7.38 8442.4
1923 4508 204.2809029 -29.8612036 -7.203 7.38 6502.9
1923 2829 204.2808985 -29.8798574 -4.826 8.71 16393.
1930 1197 204.2808073 -29.8979867 -6.112 8.36 27736.3
1934 922 204.2807665 -29.9010382 -5.079 8.36 5291.9
1943 864 204.2806455 -29.9016899 -5.807 8.51 18182.1
1954 4585 204.2804971 -29.8603443 -5.659 8.06 3695.8
1955 3842 204.2804931 -29.8685963 -5.001 7.96 3640.2
1965 3667 204.2803589 -29.8705443 -6.291 8.31 15147.5
1982 1294 204.2801425 -29.8969047 -5.087 8.46 5432.4
1991 1108 204.2800275 -29.8989822 -5.529 8.46 10949.4
1991 3639 204.2800254 -29.8708541 -5.685 8.41 9313.2
1994 932 204.2799948 -29.9009369 -4.659 7.96 1391.9
2021 788 204.2796514 -29.9025271 -4.677 8.36 1914.6
2022 3355 204.2796324 -29.8740136 -6.562 8.11 34724.9
2023 954 204.2796248 -29.900684 -6.214 8.36 7886.6
2027 4296 204.2795697 -29.8635501 -7.099 7.7 8418.6
2048 3650 204.2793029 -29.8707302 -6.478 7.63 4938.
2062 1151 204.2791204 -29.8985033 -4.595 8.21 2647.
2064 4039 204.2790948 -29.8664066 -5.012 8.36 3933.
2065 2978 204.2790814 -29.8781947 -4.938 8.86 13540.6
2075 1112 204.2789502 -29.8989334 -5.139 8.51 3619.1
2091 3434 204.2787474 -29.873131 -6.227 8.91 41191.
