#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
2018.2139          9.00      6.70e-10      1.39e-06     23405.6      5.85e-22         1.61         1.68
2018.2834          9.00      6.71e-10      1.39e-06     23422.6      5.84e-22         1.61         1.68
2018.3529          9.00      6.71e-10      1.39e-06     23439.7      5.84e-22         1.61         1.68
2018.4225          9.00      6.71e-10      1.39e-06     23456.7      5.83e-22         1.61         1.68
2018.4919          9.00      6.72e-10      1.39e-06     23473.8      5.83e-22         1.61         1.68
2018.5615          9.00      6.72e-10      1.39e-06     23490.8      5.83e-22         1.61         1.68
2018.6310          9.00      6.73e-10      1.39e-06     23507.9      5.82e-22         1.61         1.68
2018.7006          9.00      6.73e-10      1.39e-06     23524.9      5.82e-22         1.61         1.68
2018.7700          9.00      6.74e-10      1.39e-06     23542.0      5.81e-22         1.61         1.68
2018.8396          9.00      6.74e-10      1.39e-06     23559.1      5.81e-22         1.61         1.68
2018.9091          9.00      6.75e-10      1.39e-06     23576.1      5.80e-22         1.61         1.68
2018.9786          9.00      6.75e-10      1.39e-06     23593.2      5.80e-22         1.61         1.68
2019.0481          9.00      6.75e-10      1.39e-06     23610.3      5.79e-22         1.61         1.68
2019.1177          9.00      6.76e-10      1.39e-06     23627.5      5.79e-22         1.61         1.68
2019.1871          9.00      6.76e-10      1.39e-06     23644.6      5.79e-22         1.61         1.68
2019.2567          9.00      6.77e-10      1.39e-06     23661.8      5.78e-22         1.61         1.68
2019.3262          9.00      6.77e-10      1.39e-06     23679.0      5.78e-22         1.61         1.68
2019.3958          9.00      6.78e-10      1.39e-06     23696.2      5.77e-22         1.61         1.68
2019.4652          9.00      6.78e-10      1.39e-06     23713.4      5.77e-22         1.61         1.68
2019.5348          9.00      6.79e-10      1.39e-06     23730.5      5.76e-22         1.61         1.68
2019.6042          9.00      6.79e-10      1.39e-06     23747.7      5.76e-22         1.61         1.68
2019.6738          9.00      6.80e-10      1.39e-06     23764.9      5.75e-22         1.61         1.68
2019.7433          9.00      6.80e-10      1.39e-06     23782.1      5.75e-22         1.61         1.68
2019.8129          9.00      6.80e-10      1.39e-06     23799.3      5.75e-22         1.61         1.67
2019.8823          9.00      6.81e-10      1.39e-06     23816.4      5.74e-22         1.61         1.67
2019.9519          9.00      6.81e-10      1.39e-06     23833.6      5.74e-22         1.61         1.67
2020.0214          9.00      6.82e-10      1.39e-06     23850.3      5.73e-22         1.61         1.67
2020.0909          9.00      6.82e-10      1.39e-06     23866.0      5.73e-22         1.61         1.67
2020.1604          9.00      6.83e-10      1.39e-06     23881.7      5.73e-22         1.61         1.67
2020.2300          9.00      6.83e-10      1.39e-06     23897.4      5.72e-22         1.61         1.67
2020.2994          9.00      6.83e-10      1.39e-06     23913.1      5.72e-22         1.61         1.67
2020.3690          9.00      6.84e-10      1.39e-06     23928.8      5.71e-22         1.61         1.67
2020.4385          9.00      6.84e-10      1.39e-06     23944.4      5.71e-22         1.61         1.67
2020.5081          9.00      6.85e-10      1.39e-06     23960.1      5.71e-22         1.61         1.67
2020.5775          9.00      6.85e-10      1.39e-06     23975.8      5.70e-22         1.61         1.67
2020.6471          9.00      6.85e-10      1.39e-06     23991.5      5.70e-22         1.61         1.67
2020.7166          9.00      6.86e-10      1.39e-06     24007.2      5.69e-22         1.61         1.67
2020.7861          9.00      6.86e-10      1.39e-06     24022.9      5.69e-22         1.61         1.67
2020.8556          9.00      6.87e-10      1.39e-06     24038.5      5.69e-22         1.61         1.67
2020.9252          9.00      6.87e-10      1.39e-06     24054.2      5.68e-22         1.61         1.67
2020.9946          9.00      6.88e-10      1.39e-06     24069.9      5.68e-22         1.61         1.67
2021.0642          9.00      6.88e-10      1.39e-06     24085.7      5.67e-22         1.61         1.67
2021.1337          9.00      6.89e-10      1.39e-06     24101.4      5.67e-22         1.61         1.67
2021.2032          9.00      6.89e-10      1.39e-06     24117.2      5.67e-22         1.61         1.67
