#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
1318.8235          0.00      2.69e-08      4.20e-06     36670.2      1.74e-21         2.54         2.97
1320.0000          0.00      2.61e-08      4.20e-06     36317.2      1.75e-21         2.54         2.96
1321.1765          0.00      2.53e-08      4.20e-06     36026.0      1.76e-21         2.54         2.96
1322.3529          0.00      2.46e-08      4.20e-06     35734.9      1.78e-21         2.53         2.96
1323.5294          0.00      2.39e-08      4.20e-06     35443.7      1.79e-21         2.53         2.96
1324.7058          0.00      2.32e-08      4.20e-06     35152.6      1.80e-21         2.53         2.96
1325.8823          0.00      2.26e-08      4.20e-06     34861.4      1.82e-21         2.53         2.95
1327.0588          0.00      2.19e-08      4.20e-06     34570.3      1.83e-21         2.53         2.95
1328.2352          0.00      2.13e-08      4.20e-06     34279.1      1.84e-21         2.53         2.95
1329.4117          0.00      2.07e-08      4.20e-06     33988.0      1.86e-21         2.53         2.95
1330.5883          0.00      2.01e-08      4.20e-06     33716.4      1.87e-21         2.53         2.95
1331.7646          0.00      1.96e-08      4.20e-06     33464.3      1.88e-21         2.53         2.94
1332.9412          0.00      1.91e-08      4.20e-06     33212.2      1.89e-21         2.53         2.94
1334.1177          0.00      1.86e-08      4.20e-06     32960.1      1.91e-21         2.53         2.94
1335.2941          0.00      1.81e-08      4.20e-06     32708.0      1.92e-21         2.53         2.94
1336.4706          0.00      1.76e-08      4.20e-06     32455.9      1.93e-21         2.53         2.94
1337.6470          0.00      1.72e-08      4.20e-06     32203.9      1.95e-21         2.53         2.94
1338.8235          0.00      1.67e-08      4.20e-06     31951.8      1.96e-21         2.53         2.94
1340.0000          0.00      1.63e-08      4.20e-06     31699.7      1.97e-21         2.53         2.94
1341.1765          0.00      1.59e-08      4.20e-06     31479.4      1.98e-21         2.53         2.94
1342.3529          0.00      1.55e-08      4.20e-06     31259.2      2.00e-21         2.53         2.94
1343.5294          0.00      1.51e-08      4.20e-06     31038.9      2.01e-21         2.53         2.93
1344.7058          0.00      1.48e-08      4.20e-06     30818.6      2.02e-21         2.53         2.93
1345.8823          0.00      1.44e-08      4.20e-06     30598.4      2.03e-21         2.53         2.93
1347.0588          0.00      1.41e-08      4.20e-06     30378.1      2.05e-21         2.53         2.93
1348.2352          0.00      1.37e-08      4.20e-06     30157.8      2.06e-21         2.53         2.93
1349.4117          0.00      1.34e-08      4.20e-06     29937.5      2.07e-21         2.53         2.93
1350.5883          0.00      1.31e-08      4.20e-06     29731.4      2.09e-21         2.53         2.93
1351.7646          0.00      1.28e-08      4.20e-06     29539.6      2.10e-21         2.53         2.93
1352.9412          0.00      1.25e-08      4.20e-06     29347.7      2.11e-21         2.53         2.93
1354.1177          0.00      1.22e-08      4.20e-06     29155.8      2.12e-21         2.53         2.93
1355.2941          0.00      1.19e-08      4.20e-06     28963.9      2.13e-21         2.53         2.92
1356.4706          0.00      1.17e-08      4.20e-06     28772.0      2.15e-21         2.53         2.92
1357.6470          0.00      1.14e-08      4.20e-06     28580.1      2.16e-21         2.53         2.92
1358.8235          0.00      1.12e-08      4.20e-06     28388.2      2.17e-21         2.53         2.92
1360.0000          0.00      1.09e-08      4.20e-06     28196.3      2.18e-21         2.53         2.92
